city,date,weekday,hour,concat,SeasonalNaive,HoltWinters,Arima,TBATS
LIM,2021-01-11,Monday,21,LIM4420721,1417,1462,1434,1360
LIM,2021-01-11,Monday,22,LIM4420722,492,508,498,472
LIM,2021-01-11,Monday,23,LIM4420723,63,65,64,61
LIM,2021-01-12,Tuesday,0,LIM442080,0,0,0,0
LIM,2021-01-12,Tuesday,1,LIM442081,0,0,0,0
LIM,2021-01-12,Tuesday,2,LIM442082,0,0,0,0
LIM,2021-01-12,Tuesday,3,LIM442083,0,0,0,0
LIM,2021-01-12,Tuesday,4,LIM442084,0,0,0,0
LIM,2021-01-12,Tuesday,5,LIM442085,0,0,0,0
LIM,2021-01-12,Tuesday,6,LIM442086,0,0,0,0
LIM,2021-01-12,Tuesday,7,LIM442087,119,122,121,113
LIM,2021-01-12,Tuesday,8,LIM442088,387,396,392,365
LIM,2021-01-12,Tuesday,9,LIM442089,694,711,703,654
LIM,2021-01-12,Tuesday,10,LIM4420810,844,864,855,795
LIM,2021-01-12,Tuesday,11,LIM4420811,1088,1114,1102,1025
LIM,2021-01-12,Tuesday,12,LIM4420812,2066,2116,2092,1947
LIM,2021-01-12,Tuesday,13,LIM4420813,2237,2291,2266,2108
LIM,2021-01-12,Tuesday,14,LIM4420814,1787,1830,1810,1684
LIM,2021-01-12,Tuesday,15,LIM4420815,1436,1471,1455,1354
LIM,2021-01-12,Tuesday,16,LIM4420816,1290,1321,1307,1216
LIM,2021-01-12,Tuesday,17,LIM4420817,1220,1250,1236,1150
LIM,2021-01-12,Tuesday,18,LIM4420818,1454,1489,1472,1370
LIM,2021-01-12,Tuesday,19,LIM4420819,2147,2199,2175,2024
LIM,2021-01-12,Tuesday,20,LIM4420820,2138,2190,2166,2015
LIM,2021-01-12,Tuesday,21,LIM4420821,1325,1357,1342,1249
LIM,2021-01-12,Tuesday,22,LIM4420822,472,484,478,445
LIM,2021-01-12,Tuesday,23,LIM4420823,58,60,59,55
LIM,2021-01-13,Wednesday,0,LIM442090,0,0,0,0
LIM,2021-01-13,Wednesday,1,LIM442091,0,0,0,0
LIM,2021-01-13,Wednesday,2,LIM442092,0,0,0,0
LIM,2021-01-13,Wednesday,3,LIM442093,0,0,0,0
LIM,2021-01-13,Wednesday,4,LIM442094,0,0,0,0
LIM,2021-01-13,Wednesday,5,LIM442095,0,0,0,0
LIM,2021-01-13,Wednesday,6,LIM442096,0,0,0,0
LIM,2021-01-13,Wednesday,7,LIM442097,125,133,136,134
LIM,2021-01-13,Wednesday,8,LIM442098,355,379,386,382
LIM,2021-01-13,Wednesday,9,LIM442099,676,720,735,727
LIM,2021-01-13,Wednesday,10,LIM4420910,840,896,914,904
LIM,2021-01-13,Wednesday,11,LIM4420911,1131,1206,1230,1217
LIM,2021-01-13,Wednesday,12,LIM4420912,1968,2099,2140,2118
LIM,2021-01-13,Wednesday,13,LIM4420913,2067,2204,2248,2225
LIM,2021-01-13,Wednesday,14,LIM4420914,1535,1637,1670,1652
LIM,2021-01-13,Wednesday,15,LIM4420915,1404,1497,1527,1511
LIM,2021-01-13,Wednesday,16,LIM4420916,1262,1345,1372,1358
LIM,2021-01-13,Wednesday,17,LIM4420917,1230,1311,1337,1323
LIM,2021-01-13,Wednesday,18,LIM4420918,1399,1492,1522,1506
LIM,2021-01-13,Wednesday,19,LIM4420919,1932,2060,2100,2079
LIM,2021-01-13,Wednesday,20,LIM4420920,1839,1961,2000,1979
LIM,2021-01-13,Wednesday,21,LIM4420921,1160,1237,1261,1248
LIM,2021-01-13,Wednesday,22,LIM4420922,377,402,410,406
LIM,2021-01-13,Wednesday,23,LIM4420923,57,61,62,61
LIM,2021-01-14,Thursday,0,LIM442100,0,0,0,0
LIM,2021-01-14,Thursday,1,LIM442101,0,0,0,0
LIM,2021-01-14,Thursday,2,LIM442102,0,0,0,0
LIM,2021-01-14,Thursday,3,LIM442103,0,0,0,0
LIM,2021-01-14,Thursday,4,LIM442104,0,0,0,0
LIM,2021-01-14,Thursday,5,LIM442105,0,0,0,0
LIM,2021-01-14,Thursday,6,LIM442106,0,0,0,0
LIM,2021-01-14,Thursday,7,LIM442107,143,148,148,147
LIM,2021-01-14,Thursday,8,LIM442108,437,451,453,450
LIM,2021-01-14,Thursday,9,LIM442109,764,789,793,787
LIM,2021-01-14,Thursday,10,LIM4421010,920,950,955,948
LIM,2021-01-14,Thursday,11,LIM4421011,1248,1288,1295,1285
LIM,2021-01-14,Thursday,12,LIM4421012,2198,2270,2281,2264
LIM,2021-01-14,Thursday,13,LIM4421013,2320,2395,2408,2390
LIM,2021-01-14,Thursday,14,LIM4421014,1781,1839,1848,1834
LIM,2021-01-14,Thursday,15,LIM4421015,1469,1517,1525,1513
LIM,2021-01-14,Thursday,16,LIM4421016,1383,1428,1435,1425
LIM,2021-01-14,Thursday,17,LIM4421017,1329,1372,1379,1369
LIM,2021-01-14,Thursday,18,LIM4421018,1419,1466,1473,1462
LIM,2021-01-14,Thursday,19,LIM4421019,1746,1803,1812,1798
LIM,2021-01-14,Thursday,20,LIM4421020,1491,1539,1547,1535
LIM,2021-01-14,Thursday,21,LIM4421021,888,917,922,915
